trade_id,timestamp_utc,asset,buy_exchange,buy_price,sell_exchange,sell_price,quantity,notional_usd,gross_spread_per_unit,gross_profit_usd,total_fees_usd,net_profit_usd,cumulative_net_pnl_usd,paper_balance_usd,eval_latency_micros
PT-00001,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.9911,600.00,0.8000,0.7929,0.7203,0.0725,0.0725,21000.0725,61.40
PT-00002,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.7846,475.00,0.8000,0.6277,0.5703,0.0574,0.1300,21000.1300,159.86
PT-00003,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.5885,356.25,0.8000,0.4708,0.4277,0.0431,0.1731,21000.1731,49.37
PT-00004,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.4413,267.19,0.8000,0.3531,0.3208,0.0323,0.2054,21000.2054,48.97
PT-00005,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.3310,200.39,0.8000,0.2648,0.2406,0.0242,0.2296,21000.2296,49.36
PT-00006,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.2483,150.29,0.8000,0.1986,0.1804,0.0182,0.2478,21000.2478,32.85
PT-00007,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.1862,112.72,0.8000,0.1490,0.1353,0.0136,0.2614,21000.2614,49.56
PT-00008,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.1396,84.54,0.8000,0.1117,0.1015,0.0102,0.2716,21000.2716,47.15
PT-00009,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.1047,63.40,0.8000,0.0838,0.0761,0.0077,0.2793,21000.2793,55.23
PT-00010,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0785,47.55,0.8000,0.0628,0.0571,0.0057,0.2850,21000.2850,29.64
PT-00011,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0589,35.67,0.8000,0.0471,0.0428,0.0043,0.2893,21000.2893,66.50
PT-00012,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0442,26.75,0.8000,0.0353,0.0321,0.0032,0.2926,21000.2926,88.47
PT-00013,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0331,20.06,0.8000,0.0265,0.0241,0.0024,0.2950,21000.2950,57.92
PT-00014,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0249,15.05,0.8000,0.0199,0.0181,0.0018,0.2968,21000.2968,149.25
PT-00015,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0186,11.28,0.8000,0.0149,0.0135,0.0014,0.2982,21000.2982,132.73
PT-00016,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.2994,21000.2994,243.50
PT-00017,2026-08-16 08:38:21 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3006,21000.3006,49.24
PT-00018,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3018,21000.3018,113.37
PT-00019,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3030,21000.3030,132.25
PT-00020,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3042,21000.3042,114.32
PT-00021,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3054,21000.3054,88.58
PT-00022,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3066,21000.3066,58.93
PT-00023,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3079,21000.3079,51.87
PT-00024,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3091,21000.3091,33.24
PT-00025,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3103,21000.3103,44.45
PT-00026,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3115,21000.3115,67.89
PT-00027,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3127,21000.3127,153.85
PT-00028,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3139,21000.3139,100.07
PT-00029,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3151,21000.3151,114.83
PT-00030,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3163,21000.3163,76.13
PT-00031,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3175,21000.3175,31.07
PT-00032,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3187,21000.3187,262.30
PT-00033,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3200,21000.3200,288.71
PT-00034,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3212,21000.3212,140.01
PT-00035,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3224,21000.3224,162.62
PT-00036,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3236,21000.3236,305.97
PT-00037,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3248,21000.3248,162.43
PT-00038,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3260,21000.3260,353.85
PT-00039,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3272,21000.3272,70.72
PT-00040,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3284,21000.3284,68.47
PT-00041,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3296,21000.3296,106.57
PT-00042,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3308,21000.3308,107.60
PT-00043,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3320,21000.3320,82.77
PT-00044,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3333,21000.3333,33.84
PT-00045,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3345,21000.3345,105.90
PT-00046,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3357,21000.3357,61.80
PT-00047,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3369,21000.3369,59.13
PT-00048,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3381,21000.3381,396.31
PT-00049,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3393,21000.3393,739.04
PT-00050,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3405,21000.3405,53.98
PT-00051,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3417,21000.3417,29.02
PT-00052,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3429,21000.3429,28.44
PT-00053,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3441,21000.3441,45.11
PT-00054,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3453,21000.3453,284.84
PT-00055,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3466,21000.3466,239.15
PT-00056,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3478,21000.3478,45.41
PT-00057,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3490,21000.3490,103.11
PT-00058,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3502,21000.3502,389.69
PT-00059,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3514,21000.3514,61.05
PT-00060,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3526,21000.3526,55.78
PT-00061,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3538,21000.3538,84.68
PT-00062,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3550,21000.3550,62.57
PT-00063,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3562,21000.3562,267.80
PT-00064,2026-08-16 08:38:22 UTC,BNB,KRAKEN,605.4000,OKX,606.2000,0.0165,10.00,0.8000,0.0132,0.0120,0.0012,0.3574,21000.3574,127.06
